Predicted,Actual,Diff
38533.64659709182,42705,4171.353402908178
-7278.719615414026,2650,9928.719615414026
19754.54439720493,43545,23790.45560279507
143522.09268822992,276000,132477.90731177008
121493.27313781517,373980,252486.72686218482
-10332.688313418439,2100,12432.688313418439
-19939.487350177653,3450,23389.487350177653
61385.1793641603,162325,100939.8206358397
103204.20904175747,100149,-3055.2090417574655
8451.549250896293,-75,-8526.549250896293
169761.0510859181,105612,-64149.051085918094
173466.26707720952,175798,2331.7329227904847
216793.9497829471,329205,112411.05021705289
22718.203031252215,7590,-15128.203031252215
175941.39733427024,429998,254056.60266572976
13858.287987092579,3481,-10377.287987092579
43786.64437447568,37800,-5986.644374475683
89026.67604628741,109415,20388.323953712592
-4697.690507273601,9800,14497.6905072736
88719.55152348804,35896,-52823.551523488044
18337.06395756647,29496,11158.936042433528
95509.13131592171,13500,-82009.13131592171
44061.01532217598,11425,-32636.015322175983
79736.0100788523,7804,-71932.0100788523
186756.20582301775,292203,105446.79417698225
65325.077143096176,10300,-55025.077143096176
155472.0346975153,10825,-144647.0346975153
120787.42179516096,120615,-172.42179516096076
75498.67406231393,52775,-22723.674062313934
27328.858600467916,189350,162021.1413995321
119499.14396718414,90348,-29151.143967184136
14433.187578765564,1214,-13219.187578765564
12444.27691356976,68,-12376.27691356976
31004.373622487346,3500,-27504.373622487346
55416.210421001946,68800,13383.789578998054
118392.69686509843,16381,-102011.69686509843
180910.2559260149,59700,-121210.25592601491
48095.81708570155,85000,36904.18291429845
123676.07911144389,209200,85523.92088855611
167245.16506493054,681000,513754.83493506943
187377.11209022143,41820,-145557.11209022143
-7023.774052637629,334,7357.774052637629
91447.78256960653,225300,133852.21743039347
87277.26915246282,86929,-348.26915246281715
68121.50781290318,47734,-20387.507812903175
143522.09268822992,77053,-66469.09268822992
-13509.431954006943,13844,27353.43195400694
250928.9797481359,92271,-158657.9797481359
-13296.34694746572,19650,32946.34694746572
115774.03484154404,91900,-23874.03484154404
39954.56001738098,19997,-19957.56001738098
216793.9497829471,29969,-186824.9497829471
44293.73590094609,39976,-4317.735900946092
197429.56605584652,166278,-31151.566055846517
-5301.070759858543,-4575,726.0707598585432
-10658.573114320592,25200,35858.57311432059
245971.94247586894,143071,-102900.94247586894
46222.14568727414,123849,77626.85431272586
201422.29371852,81099,-120323.29371852
119082.94910232484,111600,-7482.949102324841
204889.15401007974,89500,-115389.15401007974
146493.00580531397,10477,-136016.00580531397
45672.21246784998,110151,64478.78753215002
51998.69485759422,63474,11475.305142405778
61111.1219917932,28450,-32661.121991793203
150787.37929092275,186358,35570.62070907725
47834.25277118613,12720,-35114.25277118613
173310.32494597588,103850,-69460.32494597588
55875.5512821857,110000,54124.4487178143
-8861.873775008526,1135,9996.873775008526
39364.21785212043,1599,-37765.21785212043
165196.6844261784,183049,17852.3155738216
83257.28148057373,13999,-69258.28148057373
-32153.169875769105,4764,36917.169875769105
139466.68495838315,85050,-54416.68495838315
208385.11885057445,233400,25014.88114942555
68121.50781290318,44750,-23371.507812903175
80523.5325408838,63450,-17073.532540883796
-10332.688313418439,1640,11972.688313418439
39661.60026828213,2050,-37611.60026828213
35003.54012049455,21596,-13407.540120494552
52989.01987391546,64583,11593.980126084542
227779.04970866526,183000,-44779.04970866526
26624.788793085845,61560,34935.21120691416
-10178.806432375724,2600,12778.806432375724
110602.20891598127,67852,-42750.208915981275
-6065.443105201526,19925,25990.443105201528
47405.56484847516,25960,-21445.56484847516
44115.96725469352,3320,-40795.96725469352
250928.9797481359,300000,49071.0202518641
17605.727515060677,30211,12605.272484939323
111340.02184226319,44030,-67310.02184226319
-43914.15840155101,200,44114.15840155101
251619.2319853623,748000,496380.7680146377
897.3820268529489,10450,9552.617973147051
7344.992722540848,2600,-4744.992722540848
61109.81852088732,98570,37460.18147911268
39535.58912209931,3906,-35629.58912209931
14553.462463810814,356,-14197.462463810814
129207.25732784907,114257,-14950.257327849074
50620.14275898083,37049,-13571.14275898083
143377.0361580164,35800,-107577.03615801639
37245.992769437886,42100,4854.007230562114
98564.09145114858,155918,57353.908548851425
230127.28547783592,672300,442172.7145221641
113500.62844472316,30849,-82651.62844472316
221441.50796194552,201450,-19991.50796194552
5071.586325719958,-7975,-13046.586325719958
87132.2126222493,34160,-52972.212622249295
86125.81039457663,116849,30723.189605423366
22777.553440623415,5700,-17077.553440623415
46185.66958652364,40064,-6121.66958652364
149250.35621788685,113643,-35607.356217886845
44115.96725469352,55931,11815.032745306482
83338.5035267342,140875,57536.4964732658
73201.38301888082,75995,2793.6169811191794
111430.12258072643,31420,-80010.12258072643
149024.32566750975,149750,725.6743324902491
7344.992722540848,5627,-1717.9927225408483
17567.049947413965,66573,49005.950052586035
93695.78491934613,132183,38487.21508065387
45935.21048324159,30500,-15435.210483241593
126782.51563249755,44219,-82563.51563249755
-1682.1502858590648,38784,40466.15028585907
147183.25804254037,113095,-34088.25804254037
162619.88295885918,318000,155380.11704114082
78785.25792076674,314000,235214.74207923326
53016.96650413258,76959,23942.03349586742
17974.30031862206,18400,425.6996813779406
189219.6331472242,81700,-107519.6331472242
99832.48121806628,22300,-77532.48121806628
43603.483663719715,-6388,-49991.483663719715
-24097.691955755192,4500,28597.691955755192
35693.792357720944,70100,34406.207642279056
139804.2380456266,182700,42895.76195437339
126256.94477699939,189771,63514.055223000614
79715.73355888271,123475,43759.26644111729
153226.14185065866,257200,103973.85814934134
87515.43867099397,156999,69483.56132900603
58929.5199801901,27980,-30949.519980190104
90209.10201231274,201000,110790.89798768726
129305.88753684571,172633,43327.11246315429
46953.482129779935,53946,6992.517870220065
84301.13762963499,82313,-1988.1376296349918
127815.2157791071,83200,-44615.21577910709
64908.882278236895,28760,-36148.882278236895
246662.1947130953,413400,166737.8052869047
39914.15107154459,4760,-35154.15107154459
41330.07726689882,50099,8768.922733101179
120444.97388577783,121756,1311.0261142221716
50850.38719927338,53000,2149.6128007266234
112382.52151030887,206250,93867.47848969113
44462.12691295668,6300,-38162.12691295668
129535.5276366372,61348,-68187.5276366372
29250.06326033233,14180,-15070.063260332328
60009.34043012101,61500,1490.6595698789897
17646.811720340087,21900,4253.188279659913
-15826.193672646183,7704,23530.193672646183
87636.88963837328,52260,-35376.88963837328
170459.46610628953,104149,-66310.46610628953
-7927.111296405243,26182,34109.111296405245
81195.30508711039,114879,33683.69491288961
127815.2157791071,109850,-17965.215779107093
-9859.286520532878,5425,15284.286520532878
21738.460620203186,17900,-3838.4606202031864
153226.14185065866,85599,-67627.14185065866
87270.3186165552,16217,-71053.3186165552
-13114.177049179434,39275,52389.17704917943
64009.54152053506,87180,23170.45847946494
59552.59217101229,209981,150428.4078289877
-11022.94055064483,1500,12522.94055064483
-17264.193571250045,12495,29759.193571250045
60219.463543003294,31200,-29019.463543003294
80928.18236472314,63050,-17878.182364723136
59596.565587442354,20112,-39484.565587442354
24683.358828956014,127608,102924.64117104399
47602.65016172691,38900,-8702.65016172691
122985.82687421751,91999,-30986.826874217513
-1789.2683992712628,24320,26109.268399271263
66282.94791735594,23944,-42338.94791735594
52175.78336861108,51033,-1142.7833686110826
66208.4782818624,43425,-22783.478281862393
47602.65016172691,53300,5697.34983827309
78655.52362683434,169310,90654.47637316566
146076.8109404547,55000,-91076.81094045471
60694.92712693391,202075,141380.0728730661
23357.73508854021,37782,14424.264911459792
5071.586325719958,-2944,-8015.586325719958
-5569.149470068256,-7404,-1834.850529931744
56565.80351941209,9338,-47227.80351941209
26851.691369782755,4228,-22623.691369782755
186756.20582301775,445100,258343.79417698225
72120.25204965223,130990,58869.747950347766
115083.78260431763,152000,36916.21739568237
-4386.000219492504,-1942,2444.0002194925037
115275.9068824198,90400,-24875.906882419804
70972.36665258952,40700,-30272.366652589524
119564.11281907579,78600,-40964.11281907579
25728.717314508674,7300,-18428.717314508674
122731.95369510894,60183,-62548.95369510894
95510.96394965799,12937,-82573.96394965799
147248.22689443204,54300,-92948.22689443204
44115.96725469352,205240,161124.0327453065
65390.04599498783,64650,-740.0459949878277
147873.51027976675,194682,46808.48972023325
-11225.590235786553,1230,12455.590235786553
120798.42639547645,175920,55121.57360452355
9166.284395456685,53500,44333.715604543315
90618.89552928267,69627,-20991.895529282672
64812.59355212236,10100,-54712.59355212236
237757.939616911,238700,942.0603830890032
84363.29173788113,23000,-61363.291737881125
-19605.723359146912,5950,25555.723359146912
-6755.695342427916,6058,12813.695342427916
133101.9723165967,110905,-22196.972316596686
45457.794161499594,40980,-4477.794161499594
64634.824905869784,5749,-58885.824905869784
53416.57342878783,65240,11823.42657121217
-24787.94419298158,4750,29537.94419298158
8883.47389841978,44810,35926.526101580224
11644.482847325336,1000,-10644.482847325336
51405.769358458565,68800,17394.230641541435
59261.59276874355,325948,266686.4072312565
141810.95646246124,171100,29289.04353753876
250937.14253128096,264629,13691.857468719041
207004.6143761217,290500,83495.3856238783
38972.3853511871,16000,-22972.3853511871
101122.83173824988,181300,80177.16826175012
74441.56847553136,223849,149407.43152446864
63856.057771047475,6599,-57257.057771047475
98201.51918118555,42500,-55701.51918118555
49202.26418778722,106593,57390.73581221278
64699.793757761436,11678,-53021.793757761436
145867.72241997925,61500,-84367.72241997925
58058.85694054334,32080,-25978.856940543337
57446.413738431685,75680,18233.586261568315
-7236.859059178854,21700,28936.859059178852
79680.74868275954,74798,-4882.748682759542
-13819.371220451829,4981,18800.37122045183
-17264.193571250045,-8750,8514.193571250045
253007.89924296012,573300,320292.10075703985
26851.691369782755,62600,35748.308630217245
58208.76826155413,12680,-45528.76826155413
111690.59376638981,75700,-35990.59376638981
54572.174033509946,43200,-11372.174033509946
-19512.2878850029,12360,31872.2878850029
37384.30434636414,67300,29915.695653635863
-14925.818322537505,24750,39675.8183225375
45726.121962766134,82173,36446.878037233866
129798.05585391208,39191,-90607.05585391208
53416.57342878783,42280,-11136.57342878783
101740.24088506437,3350,-98390.24088506437
206224.5122481145,120330,-85894.51224811451
74868.82269736614,139700,64831.17730263386
66282.94791735594,18000,-48282.94791735594
55785.45054372246,81000,25214.549456277542
16803.982431468918,31400,14596.017568531082
60635.65840786259,20708,-39927.65840786259
174354.18109503711,111400,-62954.181095037115
197400.0189248563,204257,6856.9810751437035
-7329.439795352415,1450,8779.439795352415
-7278.719615414026,30944,38222.719615414026
22596.185463876842,320,-22276.185463876842
38972.3853511871,38300,-672.3853511870984
166219.94000900534,165975,-244.94000900533865
58862.3399337859,137100,78237.6600662141
28295.579676984777,9261,-19034.579676984777
77965.27138960795,50900,-27065.27138960795
139014.52579265423,406349,267334.47420734575
51710.14529301811,186050,134339.8547069819
87967.5213896892,110650,22682.478610310805
43829.032050660986,60109,16279.967949339014
93010.12177549955,51504,-41506.121775499545
83595.28628698082,9440,-74155.28628698082
57881.08829429076,46745,-11136.088294290763
83912.11365984242,23668,-60244.11365984242
86825.18643376758,189784,102958.81356623242
45496.4717291463,133870,88373.5282708537
77275.01915238156,49700,-27575.01915238156
76626.45610960836,101074,24447.543890391637
137458.60831387728,1150677,1013218.3916861227
164090.23732409274,1008000,843909.7626759072
17862.376724591628,2399,-15463.376724591628
92779.50213174264,326700,233920.49786825734
62058.02343855055,58750,-3308.0234385505464
17172.124487365236,36797,19624.875512634764
47260.508318261636,23300,-23960.508318261636
53416.57342878783,92282,38865.42657121217
214687.7713503665,229900,15212.2286496335
65243.8550969357,71539,6295.144903064298
-12081.972737415379,1625,13706.972737415379
132139.33821369588,171900,39760.66178630412
48786.06932292794,52275,3488.9306770720577
86644.22904682715,47050,-39594.22904682715
110259.0684656078,171844,61584.931534392206
61.613086236688105,6708,6646.386913763312
22540.434384999633,141400,118859.56561500036
155056.1167018027,220199,65142.883298197296
158268.74223646903,133800,-24468.74223646903
208385.11885057445,205471,-2914.1188505744503
156162.2869347417,328625,172462.7130652583
202737.8293410811,18748,-183989.8293410811
13171.005251546652,157300,144128.99474845335
202128.14506117417,162349,-39779.145061174175
113691.23727419881,23376,-90315.23727419881
54725.95818377557,20415,-34310.95818377557
114453.59179732126,68697,-45756.59179732126
119564.11281907579,32172,-87392.11281907579
-18626.58484302035,3429,22055.58484302035
-7694.9144802733135,4533,12227.914480273314
69757.58996872327,25905,-43852.589968723274
208385.11885057445,334549,126163.88114942555
178059.39708632856,149100,-28959.397086328565
75309.11569574567,14359,-60950.11569574567
1442.1175606894685,2780,1337.8824393105315
69293.92237378875,90000,20706.07762621125
39010.35365460065,4900,-34110.35365460065
-4482.288945607026,2041,6523.288945607026
57801.32652136464,34500,-23301.326521364637
70972.36665258952,5600,-65372.366652589524
32781.852510520286,46350,13568.147489479714
-5965.39518736545,2214,8179.39518736545
30590.444708800645,3749,-26841.444708800645
49812.066907833054,11536,-38276.066907833054
120879.64844163689,129805,8925.351558363109
51517.58589750332,67908,16390.41410249668
153916.39408788507,146299,-7617.39408788507
138893.07482527493,135500,-3393.0748252749327
119754.72164855142,198900,79145.27835144858
6602.264691274489,-8950,-15552.26469127449
200250.87776454265,179800,-20450.877764542645
39248.70867472679,-6563,-45811.70867472679
16737.44993150616,34999,18261.55006849384
109624.02286781411,-1050,-110674.02286781411
26027.117292033025,22999,-3028.1172920330246
93774.49412084252,27079,-66695.49412084252
92028.46578426886,175598,83569.53421573114
61690.52892909567,37679,-24011.52892909567
232233.46391041653,342000,109766.53608958347
215378.02358759288,188000,-27378.023587592877
15424.125503457584,221553,206128.8744965424
125146.43347667748,310385,185238.56652332252
65325.077143096176,100749,35423.922856903824
-13296.34694746572,9750,23046.346947465718
195775.00420902664,114474,-81301.00420902664
148269.1045783917,259800,111530.8954216083
86469.47017046173,24312,-62157.47017046173
280115.13522420276,676000,395884.86477579724
203428.0815783075,65700,-137728.0815783075
-6755.695342427916,0,6755.695342427916
204153.75553643535,182150,-22003.755536435347
55539.86069116699,46150,-9389.860691166992
1677.4841548601344,6110,4432.515845139866
56695.7606289267,59655,2959.2393710733013
118374.21717409867,64200,-54174.21717409867
151755.7874854251,102475,-49280.7874854251
-13804.429286405822,-5938,7866.4292864058225
53881.92179628357,34750,-19131.92179628357
55047.63761744056,22733,-32314.63761744056
17648.36596462432,17480,-168.36596462432135
94960.42612670762,243200,148239.57387329236
59015.4842412249,16075,-42940.4842412249
221025.31309708624,251010,29984.68690291376
38742.73511756728,66600,27857.26488243272
57131.68771415354,133350,76218.31228584646
139857.38443486844,371020,231162.61556513156
91594.19558014532,78500,-13094.195580145315
35693.792357720944,22259,-13434.792357720944
279424.8829869764,313812,34387.117013023584
62058.02343855055,29514,-32544.023438550546
57946.057146182415,25600,-32346.057146182415
163423.50933919832,97600,-65823.50933919832
61109.81852088732,1600,-59509.81852088732
127750.24692721544,15666,-112084.24692721544
245281.69023864254,353100,107818.30976135746
113377.64417664516,180055,66677.35582335484
60677.51896409776,230830,170152.48103590222
-1631.4301059206755,14546,16177.430105920675
39787.477876468474,67307,27519.522123531526
219644.80862263346,367276,147631.19137736654
93010.12177549955,192300,99289.87822450045
51059.53047640885,10650,-40409.53047640885
155472.0346975153,57311,-98161.03469751531
-9552.126012234916,7850,17402.126012234916
75577.55462559233,24000,-51577.554625592325
142379.75773230832,202150,59770.242267691676
35578.283180327286,32065,-3513.2831803272857
42913.23142649332,179507,136593.76857350668
152454.81896940808,385097,232642.18103059192
93005.53268211974,38186,-54819.53268211974
16091.171110709834,-34876,-50967.17111070984
21977.23061408743,15000,-6977.230614087432
-18858.78165915228,785,19643.78165915228
-10332.688313418439,8000,18332.68831341844
66883.35026380153,133100,66216.64973619847
58250.79689805591,43418,-14832.796898055909
71662.61888981592,67125,-4537.618889815916
152830.54755203373,31950,-120880.54755203373
3115.581784241105,-225,-3340.581784241105
119773.20133955122,112815,-6958.201339551219
30209.0475292668,27021,-3188.0475292668016
91746.8019851331,79509,-12237.801985133105
54159.301460054194,23433,-30726.301460054194
65923.10273384664,57650,-8273.102733846637
-1631.4301059206755,-13960,-12328.569894079325
166282.53096202973,213600,47317.469037970266
136768.3560766509,91502,-45266.3560766509
19944.10276377322,21638,1693.8972362267814
48155.264885692006,39911,-8244.264885692006
227779.04970866526,386600,158820.95029133474
57131.68771415354,40118,-17013.687714153537
107361.45224777999,16149,-91212.45224777999
34162.356984973056,64275,30112.643015026944
43319.791957035064,24500,-18819.791957035064
-13185.750738598626,-1565,11620.750738598626
218174.4542573999,321000,102825.54574260011
60286.817824668746,62699,2412.1821753312543
202802.79819297275,-3601,-206403.79819297275
1697.7032130474981,-3978,-5675.703213047498
230127.28547783592,77992,-152135.28547783592
197150.50722267287,132084,-65066.507222672866
221441.50796194552,257500,36058.49203805448
107730.35466715181,68600,-39130.35466715181
-21466.00975439897,-1625,19841.00975439897
28730.967225666453,64329,35598.03277433355
129798.05585391208,58632,-71166.05585391208
98361.82278934434,114176,15814.17721065566
-17776.677162223856,7566,25342.677162223856
72684.8352296708,20390,-52294.8352296708
197150.50722267287,247248,50097.492777327134
139113.98580840023,92700,-46413.98580840023
40462.960414949484,30275,-10187.960414949484
134935.7688835029,157249,22313.231116497103
114416.91123232665,118247,3830.0887676733546
-7714.026289864019,4387,12101.02628986402
57544.59417110546,6701,-50843.59417110546
30111.471700119237,-2480,-32591.471700119237
217936.2847388687,222000,4063.715261131292
161119.60107615538,256616,95496.39892384462
